revision,name,date,time,number of lines,comment,added,modified,deleted,changes
r1537528,Vincent,27/10/2015,18:12:29,1,"FTRPC-199 : Frontier Android || Instead of ""All Files"", ""Files"" is displaying in Hamburger menu",0,1,0,1
r1537485,Jimmy,27/10/2015,16:58:28,1,Removed client-att and mct-att,0,1,0,1
r1537460,Jimmy,27/10/2015,16:28:16,1,Enabled spanishclaros and telcel clients,0,6,0,6
r1537454,Jimmy,27/10/2015,16:04:20,1,Added telcel folder,92,0,0,92
r1537452,Jimmy,27/10/2015,16:01:15,1,Added spanishclaros folder,92,0,0,92
r1537319,Vincent,27/10/2015,13:15:19,2,"FTRPC-159 : Frontier Android || ""Favorite"" is displayed when user selects Folders from 'All Files' section",0,1,0,1
r1536385,Jimmy,23/10/2015,17:03:31,1,Lint fix,0,1,0,1
r1536330,Jimmy,23/10/2015,16:07:36,1,Lint fix,0,2,0,2
r1536312,Jimmy,23/10/2015,15:53:51,1,Legacy app uninstall,0,2,0,2
r1536311,Jimmy,23/10/2015,15:53:31,1,Legacy app uninstall,0,2,0,2
r1536126,Jimmy,23/10/2015,13:40:49,1,Legacy app uninstall,1,2,0,3
r1536118,Jimmy,23/10/2015,13:30:01,1,Legacy app uninstall,1,7,0,8
r1536037,Jimmy,23/10/2015,11:57:54,1,Lint fix,0,2,0,2
r1536002,Jimmy,23/10/2015,10:59:01,1,Reverted to prod urls,0,1,0,1
r1535957,Jimmy,23/10/2015,10:00:03,1,Added incompatibilty fragment,3,0,0,3
r1535594,Jimmy,22/10/2015,14:42:26,1,Lint fix,0,0,7,7
r1535593,Jimmy,22/10/2015,14:40:39,1,Added incpmpatible legacy client parameter,0,12,0,12
r1535587,Jimmy,22/10/2015,14:35:31,1,Lint fix,0,0,26,26
r1535571,Jimmy,22/10/2015,14:23:01,1,Removed unused resources,0,4,7,11
r1535537,Jimmy,22/10/2015,14:08:58,1,lint fix,0,1,0,1
r1535523,Jimmy,22/10/2015,13:52:30,1,Enabled BT module,0,1,0,1
r1535517,Jimmy,22/10/2015,13:42:47,1,BT Addition,262,0,0,262
r1535516,Jimmy,22/10/2015,13:36:58,1,Widget colors,1,0,0,1
r1535453,Jimmy,22/10/2015,11:26:04,1,Widget,1,0,0,1
r1535452,Jimmy,22/10/2015,11:25:35,1,Widget,0,2,0,2
r1535451,Jimmy,22/10/2015,11:25:18,1,Widget,0,2,0,2
r1533128,Thomas,16/10/2015,11:55:48,2,Merge from android-15.2-solutions-att,0,1,0,1
r1533115,Thomas,16/10/2015,11:32:58,1,FTRPC-117: Frontier Android Handset || App icon is not matching as per Branding parameters,1,0,1,2
r1533097,Thomas,16/10/2015,11:13:18,1,Added AMXPC jira project to jira report,0,2,0,2
r1533092,Thomas,16/10/2015,11:04:56,1,Updated build files to support Jira reports per clients,0,5,0,5
